Region and country of birth;Continent;Year;Total;Alabama;Alaska;Arizona;Arkansas;California;Colorado;Connecticut;Delaware;District of Columbia;Florida;Georgia;Guam;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Puerto Rico;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin;Wyoming
Bahamas;North America;2019; 640 ; 10 ; -   ; 4 ; 4 ; 12 ; 6 ; 3 ; -   ; -   ; 366 ; 66 ; -   ; 3 ; -   ; 8 ; -   ; -   ; -   ; -   ; 3 ; -   ; 7 ; 8 ; 3 ; 4 ; 3 ; 3 ; -   ; -   ; -   ; -   ; 7 ; -   ; 22 ; 15 ; -   ; 7 ; -   ; -   ; 9 ; -   ; -   ; 4 ; -   ; 6 ; 29 ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Bahrain;Asia;2019; 116 ; -   ; -   ; -   ; -   ; 12 ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; -   ; 10 ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7 ; -   ; 9 ; 3 ; -   ; -   ; -   ; -   ; 8 ; -   ; -   ; -   ; -   ; -   ; 21 ; -   ; -   ; 4 ; -   ; -   ; -   ; -   
Bangladesh;Asia;2019; 9.067 ; 26 ; -   ; 48 ; 15 ; 436 ; 18 ; 117 ; 14 ; 13 ; 430 ; 277 ; -   ; 5 ; -   ; 98 ; 19 ; 4 ; 37 ; 5 ; 14 ; 7 ; 177 ; 180 ; 718 ; 58 ; 4 ; 16 ; -   ; 3 ; 31 ; -   ; 451 ; 8 ; 4.064 ; 65 ; -   ; 50 ; 23 ; 26 ; 312 ; -   ; -   ; 10 ; -   ; 26 ; 632 ; -   ; -   ; 400 ; 34 ; -   ; 22 ; -   
Barbados;North America;2019; 625 ; 3 ; -   ; -   ; -   ; 15 ; -   ; 7 ; -   ; 3 ; 85 ; 33 ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; 3 ; -   ; -   ; 13 ; 46 ; 3 ; 3 ; -   ; -   ; -   ; -   ; 3 ; -   ; 32 ; -   ; 272 ; 17 ; -   ; 5 ; -   ; -   ; 28 ; -   ; -   ; 4 ; -   ; 3 ; 14 ; -   ; -   ; 10 ; -   ; -   ; -   ; -   
Belarus;Europe;2019; 1.730 ; 3 ; 3 ; 15 ; -   ; 232 ; 39 ; 19 ; 5 ; 6 ; 152 ; 40 ; -   ; -   ; 3 ; 100 ; 9 ; 3 ; 4 ; 5 ; -   ; -   ; 33 ; 74 ; 18 ; 68 ; -   ; 8 ; 5 ; -   ; 10 ; 4 ; 76 ; 3 ; 333 ; 42 ; -   ; 26 ; -   ; 18 ; 120 ; -   ; 5 ; 20 ; -   ; 4 ; 46 ; 4 ; -   ; 45 ; 78 ; -   ; 17 ; -   
Belgium;Europe;2019; 575 ; -   ; -   ; 10 ; -   ; 85 ; 13 ; 9 ; -   ; 6 ; 56 ; 31 ; -   ; -   ; 5 ; 17 ; 4 ; -   ; 4 ; -   ; 7 ; 3 ; 15 ; 20 ; 14 ; 3 ; -   ; 6 ; -   ; -   ; 8 ; -   ; 28 ; -   ; 67 ; 12 ; -   ; 9 ; -   ; 8 ; 20 ; -   ; -   ; 3 ; -   ; 8 ; 50 ; 3 ; -   ; 11 ; 7 ; -   ; -   ; -   
Belize;North America;2019; 950 ; 3 ; -   ; 10 ; -   ; 283 ; 5 ; -   ; -   ; -   ; 91 ; 18 ; -   ; -   ; -   ; 86 ; 8 ; -   ; -   ; -   ; 8 ; -   ; 4 ; 4 ; 5 ; 3 ; 3 ; 8 ; -   ; -   ; 17 ; -   ; 25 ; 4 ; 118 ; 14 ; -   ; -   ; 4 ; -   ; 19 ; -   ; -   ; 4 ; -   ; 6 ; 145 ; -   ; -   ; 7 ; 13 ; -   ; -   ; -   
Benin;Africa;2019; 343 ; -   ; -   ; -   ; -   ; 8 ; 12 ; -   ; -   ; -   ; 6 ; 22 ; -   ; -   ; -   ; 35 ; 14 ; 13 ; 3 ; -   ; 3 ; -   ; 27 ; 5 ; 3 ; 12 ; -   ; -   ; -   ; 19 ; -   ; -   ; 5 ; -   ; 30 ; 13 ; -   ; 16 ; -   ; -   ; 23 ; -   ; -   ; -   ; -   ; 5 ; 22 ; -   ; -   ; 20 ; -   ; -   ; 3 ; -   
Bhutan;Asia;2019; 6.920 ; -   ; -   ; 40 ; -   ; 18 ; 139 ; 5 ; -   ; -   ; 3 ; 243 ; -   ; -   ; 30 ; 96 ; 8 ; 200 ; 62 ; 292 ; -   ; -   ; 103 ; 218 ; 124 ; 134 ; -   ; 108 ; -   ; 117 ; 9 ; 79 ; 5 ; -   ; 418 ; 267 ; 104 ; 2.058 ; -   ; 21 ; 912 ; -   ; 4 ; -   ; 119 ; 83 ; 351 ; 84 ; 104 ; 123 ; 96 ; -   ; 33 ; -   
Bolivia;South America;2019; 1.679 ; 4 ; -   ; 3 ; -   ; 137 ; 15 ; 18 ; -   ; 8 ; 248 ; 14 ; -   ; -   ; -   ; 29 ; 4 ; 3 ; 4 ; 3 ; 7 ; -   ; 109 ; 22 ; 6 ; 10 ; -   ; 10 ; -   ; -   ; 9 ; -   ; 48 ; 3 ; 104 ; 18 ; -   ; 7 ; 7 ; 7 ; 11 ; -   ; 32 ; -   ; -   ; 12 ; 135 ; 26 ; -   ; 528 ; 8 ; -   ; 10 ; -   
Bosnia and Herzegovina;Europe;2019; 1.709 ; 5 ; -   ; 59 ; -   ; 50 ; 21 ; 56 ; -   ; -   ; 121 ; 115 ; -   ; -   ; 18 ; 124 ; 27 ; 128 ; -   ; 49 ; 10 ; 4 ; 8 ; 18 ; 131 ; 35 ; -   ; 162 ; -   ; 9 ; 15 ; 12 ; 37 ; -   ; 74 ; 25 ; 10 ; 37 ; 4 ; 8 ; 52 ; -   ; -   ; 4 ; -   ; 16 ; 101 ; 28 ; 7 ; 32 ; 37 ; -   ; 24 ; -   
Brazil;South America;2019; 10.451 ; 59 ; 5 ; 85 ; 12 ; 973 ; 132 ; 273 ; 17 ; 25 ; 2.495 ; 482 ; -   ; 44 ; 7 ; 180 ; 44 ; 38 ; 26 ; 26 ; 57 ; 16 ; 190 ; 1.264 ; 107 ; 78 ; 11 ; 42 ; 16 ; 10 ; 80 ; 88 ; 701 ; 15 ; 617 ; 192 ; -   ; 108 ; 32 ; 50 ; 198 ; 7 ; 38 ; 70 ; -   ; 70 ; 685 ; 178 ; 7 ; 193 ; 133 ; 8 ; 49 ; 3 
Bulgaria;Europe;2019; 2.251 ; 7 ; 8 ; 35 ; 7 ; 224 ; 46 ; 15 ; 13 ; 7 ; 216 ; 71 ; -   ; 5 ; 3 ; 487 ; 13 ; 7 ; 7 ; -   ; 9 ; 12 ; 49 ; 107 ; 19 ; 24 ; -   ; 23 ; 5 ; -   ; 77 ; 6 ; 97 ; -   ; 179 ; 41 ; -   ; 22 ; 6 ; 10 ; 69 ; -   ; -   ; 16 ; -   ; 12 ; 72 ; 15 ; -   ; 70 ; 60 ; -   ; 31 ; -   
Burkina Faso;Africa;2019; 426 ; -   ; -   ; 3 ; 3 ; 13 ; 9 ; -   ; -   ; 4 ; -   ; 21 ; -   ; -   ; -   ; 7 ; 4 ; -   ; 3 ; -   ; -   ; -   ; 29 ; 8 ; 4 ; 4 ; -   ; -   ; -   ; 17 ; -   ; -   ; 19 ; -   ; 116 ; 11 ; -   ; 20 ; -   ; 3 ; 14 ; -   ; -   ; -   ; -   ; -   ; 48 ; -   ; -   ; 17 ; 9 ; -   ; 5 ; -   
Burma;Africa;2019; 11.674 ; 5 ; -   ; 145 ; 42 ; 440 ; 171 ; 23 ; 3 ; -   ; 259 ; 476 ; -   ; 13 ; 40 ; 318 ; 1.561 ; 645 ; 198 ; 348 ; 31 ; -   ; 281 ; 73 ; 336 ; 1.062 ; -   ; 170 ; 3 ; 488 ; 20 ; 3 ; 37 ; 5 ; 710 ; 515 ; -   ; 235 ; 341 ; 106 ; 184 ; -   ; -   ; 80 ; 90 ; 211 ; 1.265 ; 84 ; 11 ; 73 ; 160 ; 11 ; 239 ; -   
Burundi;Africa;2019; 394 ; -   ; -   ; 30 ; -   ; 4 ; 6 ; 4 ; -   ; -   ; 3 ; 6 ; -   ; -   ; 4 ; 20 ; -   ; 43 ; -   ; 19 ; -   ; 20 ; 10 ; 5 ; 9 ; -   ; -   ; 6 ; -   ; -   ; -   ; 7 ; 3 ; -   ; 15 ; 8 ; 3 ; 13 ; -   ; 3 ; 11 ; -   ; -   ; 6 ; 12 ; 6 ; 79 ; 7 ; -   ; 5 ; 6 ; -   ; -   ; -   
Cabo Verde;Africa;2019; 1.316 ; -   ; -   ; -   ; -   ; 6 ; -   ; 30 ; -   ; -   ; 20 ; 9 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 962 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; 8 ; 3 ; -   ; -   ; -   ; -   ; 6 ; -   ; 228 ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; -   
Cambodia;Asia;2019; 2.877 ; 16 ; -   ; 27 ; 22 ; 748 ; 34 ; 31 ; -   ; -   ; 65 ; 74 ; -   ; 4 ; -   ; 34 ; 21 ; 17 ; 16 ; 57 ; 21 ; 21 ; 32 ; 345 ; 19 ; 143 ; 9 ; 19 ; -   ; -   ; 14 ; 7 ; 6 ; -   ; 41 ; 36 ; -   ; 36 ; 10 ; 31 ; 153 ; -   ; 54 ; 22 ; -   ; 28 ; 272 ; 17 ; -   ; 71 ; 227 ; -   ; 18 ; -   
Cameroon;Africa;2019; 3.197 ; 11 ; 4 ; 30 ; 16 ; 107 ; 18 ; 4 ; 31 ; 51 ; 48 ; 167 ; -   ; 3 ; -   ; 70 ; 23 ; 25 ; 16 ; 19 ; 12 ; 5 ; 829 ; 112 ; 51 ; 98 ; 4 ; 23 ; -   ; 13 ; 6 ; -   ; 58 ; 13 ; 86 ; 80 ; 15 ; 120 ; 83 ; 11 ; 73 ; -   ; -   ; 19 ; -   ; 15 ; 540 ; 6 ; -   ; 126 ; 15 ; 4 ; 18 ; -   
Canada;North America;2019; 11.059 ; 74 ; 30 ; 342 ; 40 ; 1.542 ; 277 ; 127 ; 7 ; 38 ; 1.113 ; 384 ; -   ; 66 ; 57 ; 299 ; 111 ; 50 ; 38 ; 53 ; 39 ; 59 ; 134 ; 305 ; 487 ; 187 ; 22 ; 80 ; 45 ; 26 ; 119 ; 65 ; 238 ; 37 ; 777 ; 348 ; 24 ; 222 ; 55 ; 153 ; 268 ; -   ; 36 ; 121 ; 7 ; 141 ; 1.074 ; 125 ; 43 ; 224 ; 594 ; 12 ; 99 ; 20 
Central African Republic;Africa;2019; 120 ; -   ; -   ; 4 ; -   ; 4 ; 7 ; -   ; -   ; 6 ; -   ; 8 ; -   ; -   ; -   ; 5 ; -   ; 4 ; -   ; -   ; -   ; -   ; 12 ; 6 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 14 ; 5 ; -   ; 3 ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Colombia;South America;2019; 17.126 ; 38 ; 4 ; 121 ; 22 ; 805 ; 116 ; 295 ; 28 ; 33 ; 6.189 ; 709 ; -   ; 10 ; 12 ; 264 ; 52 ; 23 ; 28 ; 46 ; 60 ; 7 ; 210 ; 439 ; 54 ; 47 ; 17 ; 36 ; -   ; 21 ; 121 ; 42 ; 1.576 ; 29 ; 2.056 ; 407 ; 3 ; 75 ; 46 ; 51 ; 279 ; 72 ; 99 ; 203 ; 4 ; 79 ; 1.424 ; 95 ; 3 ; 304 ; 102 ; 9 ; 57 ; 6 
Congo, Democratic Republic;Africa;2019; 2.877 ; 10 ; -   ; 79 ; -   ; 79 ; 85 ; 49 ; -   ; 3 ; 28 ; 115 ; -   ; -   ; 39 ; 119 ; 36 ; 181 ; 27 ; 147 ; 7 ; 38 ; 97 ; 68 ; 81 ; 36 ; -   ; 38 ; -   ; 9 ; 11 ; 38 ; 17 ; 8 ; 124 ; 242 ; 20 ; 106 ; 3 ; 20 ; 60 ; -   ; 8 ; 7 ; 12 ; 38 ; 499 ; 30 ; 13 ; 86 ; 65 ; -   ; 19 ; -   
Congo, Republic;Africa;2019; 351 ; -   ; -   ; 11 ; -   ; 10 ; 17 ; -   ; -   ; -   ; 5 ; 10 ; -   ; -   ; -   ; 25 ; 4 ; 7 ; -   ; 7 ; -   ; 6 ; 15 ; 3 ; 16 ; 7 ; -   ; -   ; -   ; -   ; -   ; -   ; 11 ; -   ; 36 ; 11 ; -   ; 11 ; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; 6 ; 62 ; 5 ; -   ; 5 ; 6 ; -   ; -   ; -   
Costa Rica;North America;2019; 1.859 ; 7 ; 3 ; 29 ; 3 ; 162 ; 27 ; 19 ; -   ; 6 ; 367 ; 75 ; -   ; 5 ; 4 ; 22 ; 20 ; 3 ; 5 ; 4 ; 12 ; -   ; 36 ; 30 ; 17 ; 17 ; 3 ; 11 ; -   ; -   ; 15 ; -   ; 260 ; 3 ; 117 ; 112 ; -   ; 15 ; 7 ; 15 ; 42 ; 5 ; 5 ; 36 ; -   ; 21 ; 164 ; 14 ; -   ; 51 ; 15 ; 5 ; 16 ; -   
Cote d'Ivoire;Africa;2019; 1.206 ; 3 ; -   ; 16 ; -   ; 34 ; 19 ; 11 ; 8 ; 9 ; 20 ; 93 ; -   ; -   ; 3 ; 23 ; 13 ; 14 ; -   ; 9 ; 4 ; -   ; 94 ; 37 ; 11 ; 28 ; -   ; 10 ; -   ; 15 ; 10 ; 5 ; 52 ; -   ; 227 ; 40 ; 7 ; 42 ; 4 ; -   ; 63 ; -   ; 11 ; 6 ; 3 ; 12 ; 118 ; 8 ; -   ; 35 ; 21 ; -   ; 8 ; -   
Croatia;Europe;2019; 412 ; -   ; -   ; 10 ; -   ; 52 ; 9 ; 3 ; -   ; -   ; 39 ; 20 ; -   ; -   ; -   ; 22 ; 8 ; 11 ; -   ; 3 ; -   ; -   ; 5 ; 9 ; 11 ; 4 ; -   ; 11 ; -   ; -   ; 7 ; -   ; 11 ; -   ; 48 ; 6 ; -   ; 19 ; 3 ; -   ; 11 ; -   ; -   ; -   ; -   ; 6 ; 28 ; -   ; -   ; 10 ; 3 ; -   ; 10 ; -   
Cuba;North America;2019; 36.246 ; 23 ; 3 ; 180 ; 6 ; 326 ; 68 ; 27 ; 6 ; 15 ; 29.570 ; 283 ; -   ; 3 ; 4 ; 90 ; 35 ; 25 ; 31 ; 550 ; 95 ; 4 ; 31 ; 65 ; 79 ; 24 ; 14 ; 60 ; 4 ; 82 ; 585 ; 4 ; 524 ; 62 ; 386 ; 243 ; 5 ; 42 ; 23 ; 74 ; 129 ; 106 ; 5 ; 40 ; 7 ; 68 ; 1.589 ; 21 ; -   ; 101 ; 49 ; -   ; 38 ; -   
Cyprus;Europe;2019; 115 ; -   ; -   ; -   ; -   ; 11 ; 3 ; -   ; -   ; -   ; 13 ; 4 ; -   ; -   ; -   ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8 ; -   ; 24 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; 3 ; 7 ; -   ; -   ; 4 ; -   ; -   ; -   ; -   
Czechia;Europe;2019; 600 ; 6 ; 4 ; 6 ; -   ; 85 ; 24 ; 5 ; -   ; 3 ; 95 ; 27 ; -   ; 5 ; 3 ; 55 ; -   ; -   ; 3 ; 5 ; -   ; -   ; 8 ; 19 ; 9 ; -   ; -   ; 3 ; 3 ; -   ; 7 ; 5 ; 18 ; -   ; 47 ; 20 ; -   ; 3 ; -   ; 5 ; 20 ; -   ; -   ; 3 ; -   ; 10 ; 31 ; 3 ; 4 ; 15 ; 15 ; -   ; -   ; -   
Czechoslovakia (former);Europe;2019; 325 ; 3 ; -   ; 15 ; -   ; 45 ; 13 ; -   ; -   ; -   ; 40 ; 18 ; -   ; -   ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; 10 ; 6 ; 3 ; -   ; 5 ; -   ; -   ; 6 ; -   ; 16 ; -   ; 19 ; 8 ; -   ; 6 ; -   ; 3 ; 13 ; -   ; -   ; -   ; -   ; 4 ; 16 ; 5 ; -   ; 7 ; 9 ; -   ; 4 ; -   
Chad;Africa;2019; 90 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 12 ; 4 ; -   ; -   ; -   ; -   ; 8 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; 14 ; -   ; -   ; 4 ; -   ; -   ; 7 ; -   ; -   ; -   ; -   ; -   ; 12 ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Chile;South America;2019; 1.784 ; 6 ; -   ; 33 ; 5 ; 213 ; 29 ; 25 ; 5 ; 11 ; 426 ; 65 ; -   ; 4 ; 5 ; 22 ; -   ; 3 ; 3 ; 6 ; 5 ; 4 ; 50 ; 38 ; 20 ; 14 ; 3 ; 12 ; -   ; 4 ; 16 ; 4 ; 92 ; 5 ; 164 ; 47 ; -   ; 11 ; 6 ; 22 ; 30 ; 4 ; 4 ; 13 ; -   ; 14 ; 123 ; 72 ; -   ; 60 ; 43 ; -   ; 14 ; -   
China, People's Republic;Asia;2019; 39.490 ; 135 ; 23 ; 323 ; 74 ; 10.875 ; 397 ; 285 ; 89 ; 57 ; 939 ; 851 ; 18 ; 320 ; 60 ; 1.272 ; 277 ; 142 ; 138 ; 127 ; 138 ; 31 ; 820 ; 1.574 ; 554 ; 441 ; 64 ; 253 ; 13 ; 64 ; 401 ; 71 ; 1.083 ; 73 ; 8.527 ; 555 ; 12 ; 530 ; 144 ; 402 ; 1.130 ; 19 ; 59 ; 141 ; 10 ; 223 ; 2.782 ; 147 ; 18 ; 793 ; 1.162 ; 29 ; 218 ; 15 
Denmark;Europe;2019; 656 ; -   ; -   ; 17 ; -   ; 145 ; 14 ; 10 ; -   ; -   ; 61 ; 28 ; -   ; -   ; -   ; 18 ; 6 ; 4 ; -   ; 8 ; 4 ; 3 ; 8 ; 20 ; 9 ; 13 ; -   ; 5 ; -   ; -   ; 9 ; -   ; 26 ; -   ; 43 ; 16 ; -   ; 6 ; -   ; 16 ; 16 ; -   ; -   ; 6 ; -   ; 5 ; 54 ; 5 ; -   ; 19 ; 22 ; -   ; 7 ; -   
Djibouti;Africa;2019; 96 ; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; 6 ; -   ; 8 ; -   ; -   ; -   ; 37 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; -   ; -   ; -   ; 6 ; -   ; -   ; -   
Dominica;North America;2019; 740 ; -   ; -   ; -   ; -   ; 9 ; -   ; 5 ; -   ; -   ; 114 ; 50 ; -   ; -   ; -   ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; 26 ; 12 ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 56 ; -   ; 132 ; 7 ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; 4 ; 54 ; -   ; -   ; 11 ; 4 ; -   ; -   ; -   
Dominican Republic;North America;2019; 23.101 ; 25 ; 42 ; 35 ; 8 ; 110 ; 23 ; 467 ; 38 ; 49 ; 2.685 ; 272 ; -   ; 5 ; 3 ; 102 ; 62 ; 7 ; 17 ; 13 ; 83 ; 5 ; 239 ; 2.060 ; 80 ; 39 ; 27 ; 34 ; -   ; 8 ; 37 ; 98 ; 3.379 ; 3 ; 8.546 ; 330 ; -   ; 132 ; 12 ; 16 ; 1.534 ; 634 ; 547 ; 57 ; -   ; 39 ; 271 ; 29 ; 4 ; 124 ; 24 ; 5 ; 50 ; -   
Ecuador;South America;2019; 7.731 ; 10 ; 5 ; 25 ; 7 ; 292 ; 19 ; 316 ; 12 ; 23 ; 1.110 ; 105 ; -   ; 5 ; -   ; 244 ; 18 ; 22 ; 8 ; 10 ; 14 ; 4 ; 86 ; 94 ; 11 ; 141 ; 4 ; 10 ; -   ; 7 ; 24 ; 6 ; 1.408 ; 9 ; 2.530 ; 195 ; -   ; 42 ; 5 ; 14 ; 142 ; 12 ; 15 ; 32 ; -   ; 28 ; 294 ; 80 ; -   ; 82 ; 25 ; 3 ; 12 ; -   
Egypt;Africa;2019; 8.311 ; 25 ; -   ; 52 ; 7 ; 1.503 ; 17 ; 44 ; 19 ; 18 ; 706 ; 95 ; -   ; -   ; -   ; 164 ; 96 ; 33 ; 20 ; 37 ; 27 ; 5 ; 109 ; 232 ; 110 ; 75 ; 4 ; 19 ; -   ; 11 ; 28 ; 13 ; 1.289 ; 5 ; 866 ; 180 ; -   ; 155 ; 12 ; 50 ; 360 ; -   ; 9 ; 52 ; -   ; 474 ; 570 ; 7 ; -   ; 477 ; 105 ; 4 ; 24 ; -   
El Salvador;North America;2019; 18.260 ; 28 ; 14 ; 128 ; 204 ; 5.343 ; 148 ; 64 ; 12 ; 167 ; 649 ; 443 ; -   ; -   ; 14 ; 124 ; 100 ; 73 ; 82 ; 19 ; 35 ; 8 ; 1.373 ; 453 ; 42 ; 118 ; 12 ; 59 ; -   ; 88 ; 321 ; 7 ; 514 ; 19 ; 1.594 ; 500 ; 5 ; 66 ; 32 ; 58 ; 81 ; 8 ; 18 ; 37 ; 14 ; 95 ; 2.951 ; 144 ; -   ; 1.427 ; 145 ; 8 ; 16 ; -   
Eritrea;Africa;2019; 1.951 ; -   ; -   ; 27 ; -   ; 203 ; 69 ; 7 ; -   ; 54 ; 19 ; 88 ; -   ; -   ; 11 ; 27 ; 30 ; 76 ; 17 ; 17 ; -   ; -   ; 86 ; 31 ; 14 ; 59 ; -   ; 40 ; -   ; 7 ; 40 ; -   ; 9 ; 3 ; 46 ; 86 ; 3 ; 85 ; 11 ; 24 ; 25 ; -   ; 6 ; 5 ; 27 ; 18 ; 315 ; 11 ; -   ; 143 ; 152 ; 5 ; 18 ; -   
Estonia;Europe;2019; 210 ; -   ; -   ; 4 ; -   ; 18 ; 3 ; 5 ; -   ; -   ; 23 ; 7 ; -   ; -   ; -   ; 9 ; -   ; -   ; 4 ; -   ; -   ; -   ; 7 ; 7 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; 36 ; 10 ; -   ; 5 ; -   ; 4 ; 6 ; -   ; -   ; 3 ; -   ; -   ; 6 ; -   ; -   ; 8 ; 16 ; -   ; -   ; -   
Ethiopia;Africa;2019; 9.065 ; 21 ; 3 ; 82 ; 4 ; 606 ; 426 ; 13 ; 5 ; 351 ; 98 ; 565 ; -   ; -   ; 12 ; 162 ; 48 ; 94 ; 71 ; 58 ; 10 ; 8 ; 901 ; 164 ; 51 ; 949 ; 7 ; 96 ; -   ; 46 ; 270 ; -   ; 38 ; 4 ; 114 ; 132 ; 12 ; 268 ; 25 ; 80 ; 133 ; -   ; 4 ; 6 ; 73 ; 183 ; 891 ; 15 ; 3 ; 958 ; 621 ; 9 ; 38 ; 3 
Fiji;Oceania;2019; 778 ; -   ; -   ; 9 ; -   ; 561 ; 4 ; -   ; -   ; -   ; 9 ; -   ; -   ; 7 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; 10 ; -   ; 5 ; 3 ; 8 ; -   ; -   ; 7 ; -   ; 25 ; 4 ; -   ; -   ; -   ; -   ; -   ; 12 ; 7 ; -   ; 7 ; 61 ; -   ; 4 ; -   
Finland;Europe;2019; 343 ; -   ; 3 ; 8 ; -   ; 73 ; 9 ; 7 ; -   ; 3 ; 43 ; 11 ; -   ; -   ; -   ; 8 ; 3 ; -   ; -   ; -   ; 5 ; 4 ; 12 ; 5 ; 4 ; 7 ; -   ; 3 ; -   ; -   ; 3 ; -   ; 8 ; -   ; 28 ; 8 ; -   ; 4 ; -   ; 3 ; 3 ; -   ; -   ; -   ; -   ; -   ; 37 ; -   ; -   ; 6 ; 9 ; -   ; 7 ; -   
France;Europe;2019; 3.315 ; 6 ; -   ; 32 ; 4 ; 704 ; 51 ; 24 ; -   ; 26 ; 401 ; 103 ; -   ; 12 ; 9 ; 93 ; 16 ; 8 ; 7 ; 11 ; 10 ; 3 ; 68 ; 140 ; 50 ; 52 ; 3 ; 17 ; -   ; 4 ; 31 ; 10 ; 123 ; 15 ; 440 ; 76 ; -   ; 31 ; 7 ; 32 ; 84 ; 6 ; 12 ; 28 ; -   ; 17 ; 261 ; 21 ; 6 ; 68 ; 99 ; 4 ; 19 ; -   
Gabon;Africa;2019; 113 ; -   ; -   ; -   ; -   ; 6 ; 5 ; -   ; -   ; -   ; -   ; 11 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; 5 ; -   ; -   ; -   ; -   ; 11 ; 4 ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 29 ; -   ; -   ; 4 ; 6 ; -   ; -   ; -   
Gambia;Africa;2019; 729 ; 3 ; 5 ; 5 ; 3 ; 12 ; 4 ; -   ; -   ; 3 ; 8 ; 97 ; -   ; -   ; -   ; 6 ; 3 ; 5 ; 6 ; 13 ; -   ; -   ; 46 ; 13 ; 11 ; 25 ; 5 ; 4 ; -   ; 5 ; -   ; -   ; 8 ; -   ; 122 ; 34 ; -   ; 42 ; -   ; -   ; 17 ; -   ; 16 ; -   ; -   ; 13 ; 38 ; -   ; -   ; 19 ; 78 ; -   ; 30 ; -   
Georgia;Asia;2019; 973 ; -   ; -   ; -   ; -   ; 97 ; 6 ; 21 ; -   ; 8 ; 39 ; 15 ; -   ; -   ; -   ; 18 ; -   ; -   ; -   ; -   ; -   ; -   ; 28 ; 10 ; 5 ; 4 ; -   ; -   ; -   ; -   ; 4 ; -   ; 100 ; -   ; 422 ; 11 ; -   ; 17 ; -   ; 5 ; 66 ; -   ; -   ; -   ; -   ; 3 ; 19 ; 4 ; -   ; 20 ; 20 ; -   ; -   ; -   
Germany;Europe;2019; 4.745 ; 56 ; 13 ; 97 ; 19 ; 696 ; 158 ; 36 ; 9 ; 15 ; 500 ; 200 ; -   ; 34 ; 13 ; 154 ; 44 ; 21 ; 24 ; 37 ; 29 ; 14 ; 85 ; 123 ; 129 ; 54 ; 14 ; 70 ; 8 ; 12 ; 42 ; 13 ; 123 ; 29 ; 312 ; 156 ; 3 ; 81 ; 33 ; 46 ; 132 ; -   ; 7 ; 85 ; 6 ; 69 ; 386 ; 35 ; 13 ; 159 ; 144 ; 11 ; 61 ; 6 
